params_txt_path,optimization_mode,strategy_signature,year_return_std,loss_years,total_return,year_avg_return,mdd_pct,saved_at,source_run_dir,n_trades,xs_path,composite_score,source_saved_at,params_json,DonLen,ATRLen,EMAWarmBars,EntryBufferPts,DonBufferPts,MinATRD,ATRStopK,ATRTakeProfitK,MaxEntriesPerDay,TimeStopBars,MinRunPctAnchor,TrailStartPctAnchor,TrailGivePctAnchor,UseAnchorExit,AnchorBackPct,SysHistDBars,SysHistMBars,mdd_amount,slip_per_side,year_return_2020,year_return_2021,year_return_2022,year_return_2023,year_return_2024,year_return_2025,year_return_2026
C:\Users\User\Documents\mqquant\01\bundle\run_history\mq01_exports\20260415_234748_Uploaded_Strategy_4a35ec86\best_strategy.txt,智慧搜尋,4a35ec86b9ce813e6cb536f1f1d1ad79b3cc4fef,15.388453637605524,0,114.9263,16.418042857142858,13.0437,2026-04-15T23:47:56,C:\Users\User\Documents\mqquant\01\bundle\run_history\mq01_exports\20260415_234748_Uploaded_Strategy_4a35ec86,301,C:\Users\User\Documents\mqquant\01\bundle\run_history\mq01_exports\20260415_234748_Uploaded_Strategy_4a35ec86\best_indicator.xs,16.73508606481088,2026-04-15T23:47:56,"{""ATRLen"": 2, ""ATRStopK"": 0.57, ""ATRTakeProfitK"": 0.78, ""AnchorBackPct"": 0.82, ""DonBufferPts"": 124, ""DonLen"": 274, ""EMAWarmBars"": 1, ""EntryBufferPts"": 84, ""MaxEntriesPerDay"": 10, ""MinATRD"": 127, ""MinRunPctAnchor"": 0.39, ""SysHistDBars"": 600, ""SysHistMBars"": 20000, ""TimeStopBars"": 115, ""TrailGivePctAnchor"": 0.02, ""TrailStartPctAnchor"": 0.71, ""UseAnchorExit"": 1}",274,2,1,84,124,127,0.57,0.78,10,115,0.39,0.71,0.02,1,0.82,600,20000,130437.0,2.0,0.0,6.8629999999999995,6.1989,2.8974,43.3707,31.2682,24.3281
C:\Users\User\Documents\mqquant\01\bundle\run_history\mq01_exports\20260415_231401_Uploaded_Strategy_72cf7ae6\best_strategy.txt,智慧搜尋,72cf7ae6d71398cd8d3d4c009d845a9dcfb96aa6,18.423081018224984,3,89.6475,12.806785714285713,18.4909,2026-04-15T23:14:09,C:\Users\User\Documents\mqquant\01\bundle\run_history\mq01_exports\20260415_231401_Uploaded_Strategy_72cf7ae6,328,C:\Users\User\Documents\mqquant\01\bundle\run_history\mq01_exports\20260415_231401_Uploaded_Strategy_72cf7ae6\best_indicator.xs,-7.16178524467964,2026-04-15T23:14:09,"{""ATRLen"": 2, ""ATRStopK"": 0.57, ""ATRTakeProfitK"": 0.81, ""AnchorBackPct"": 0.82, ""DonBufferPts"": 117, ""DonLen"": 136, ""EMAWarmBars"": 1, ""EntryBufferPts"": 84, ""MaxEntriesPerDay"": 10, ""MinATRD"": 127, ""MinRunPctAnchor"": 0.22, ""SysHistDBars"": 600, ""SysHistMBars"": 20000, ""TimeStopBars"": 60, ""TrailGivePctAnchor"": 0.02, ""TrailStartPctAnchor"": 0.71, ""UseAnchorExit"": 1}",136,2,1,84,117,127,0.57,0.81,10,60,0.22,0.71,0.02,1,0.82,600,20000,184909.0,2.0,-4.0788,-5.2739,-0.4288,0.6867,44.9538,29.283199999999997,24.5053
